Name,Tag,Server,Region,puuid,Key_ID
OB8 Giroud,EUW,euw,europe,mFZTHNHHJyKeaouEp7NSafg--ck7FDDILpriXm2gyzeWTKrpYc9c75bo8TrzotbRX52RCuZlYTwGAQ,9
2008 12 19,JUG,kr,asia,EP5x4nM8MkqSM0512sAiQ5j03zLhv11ZwG0TUD6mywJkCNfbCGE7ySVoAgT7_vpO_7rWFZTLKwWOsA,9
Langman,6666,kr,asia,G4hyB2_TckbOesV89aqBQ5jZPGXuk4IWIBWjN9WO6bY6x7i1oxlSXKgMwuoE7BOz_TXNWhWpZIrX_w,9
xxxbelmontation,BR2,br,americas,BOkuwTqbKdBGBDHvdIek_Azr5zcgF8vjrBH3A1MwddDJqZN-2mZ2zzPLn4_WN-JYNNaXy3O-aC651g,9
EloBuddler,Mole,euw,europe,o-3RZYQ--5woogde8a0jKJ5c0xeAIOa3L_HKy-bbv7wtsyVLLBozyuoQQPOl-mHsdGuK3TnMuVtc7Q,9
Willy Woodinson,chill,euw,europe,wnMrY2JtAjx435i47sAEtq5xtWfn12UvVFPCa3DksBO_bqLG2m5G1tNnwv4AVxdCgilQ0_0_Jyg7UA,9
Shout Baby,0123,kr,asia,OGK1K-qt0msNe3nOJL6WEiWGx26ooNoUWv7iQGs-0vCuVYUbtsNFE-jCBGYpdotxOjfNzUdVZycQaA,9
Pipeey zyra acc,Cnjoy,euw,europe,uPV-MlLq9WV6AVX0LYHvUBEtLOPP1o5ncOFumfydZu06T8gbdpWUC4UgkJ4o7ekM0atGTzQrFev6Lg,9
IlllIIlIIIIIIlII,EUW,euw,europe,B2U0zmzs3KhhEgBSZz_7iDS-whpB7CfOd69kothipxdB5v3o3O979jp15KBje-jtv8A7AxAuvY9LFw,9
dr choclate,sugar,euw,europe,buPXfN6x6bMqjC_3YIQqks38KSCpXI5uSHOij6hNg8mWalNkHeuR2o4B3INgvUmrFmRuraft88_eaQ,9
Moon,S 2,kr,asia,kfC-uEySh9ugAH-hslBK7PW-g-oIJuplggzx9S3wPOJWTq7Op915ckfZLIJ15WQj7sfeNqTdRA4jxg,9
wakanda for0ner,rito,kr,asia,bmD8WEZGIVi65cXdPwUPX6zi9E298n6PVsa0NXtSNusOvQIB1zEjDfjQQkV-WFPN2G_URSw0QrKDxA,9
stand or die,KR123,kr,asia,qXP07UjVupg7fPIXzwijVnQ6cSnIJpsTtcqHkN18m1D2pr4F-NTAYZ1bux6a-a-IwUrkjze3jB3VgA,9
BrixZzZ,EUW,euw,europe,Fi155f3_ygKKkyQ2pmkAdsDlnaIBajk2pCBTbVHl4Nn1qthc3ZEHnJj8AhMxrrGd0G7YyTjcErVH-g,9
timeeGER,EUW,euw,europe,hBlzs8kMXqKjzkx3SFR_i6BXDfdQUVoGncQvPVO4mshwTkGAlJ-JWGPUL8545XLolsrduMFFbYSGGQ,9
Conflict,LAN,lan,americas,LFTvlV1ioMW8QRuF1WW_lQVER4VFjtdVxM8dq8gmOwSKuF9hLdqRXmrmNoCf_k4N4e5rlbb9eFqb2A,9
Minerva,IDL,br,americas,BGGt0d15u5Wf8lwZUMoAA6lgj2X-vFW3vdoYIp69KoUXlJv_3fyjBnizo04dbZf1E2kyKdKZeeMgCg,9
EL MATADOR JANIS,WARDA,euw,europe,gVoOEUvINY3HZKic2r02tk9GB5O1qc0pyut9lnGMKeGJlOUnkeM-B1527-7Ew9sTCV1Y93jNYt1L9g,9
Monsieur Muscle,FAT,euw,europe,sj9aWwJLA6hPkTg91oKGpXpj29SV18qsAgF_Bcre76-YgErv1H2KKShbDc1a2PY4siwAGB4pIaio4g,9
