Name,Tag,Server,Region,puuid,Key_ID
dothivovi,cuPi,kr,asia,mKitb7URn7JjUPJyQ2z-8y0jx0ESt4r0V39Wp99HbJ3gL6rYUSTjpBog_2S_PNZMNtIayXGRu6uEOg,3
Unicorn on keta,Smurf,euw,europe,lNXzBB-04tcO9Z5NWeDzHJ6J4MrdK2ziVLqUrIYWxWP0feRwhAnS0bFPccm_L5sloZmChSUsT-FlBw,3
3 6 9,189,kr,asia,GO3XMc2YL4i7VCT_Z6yPGoVODIVh1qQCbZ_LaIS7-PDpyoXOGUz-KRv7sBEnFJ7vqTFJiJx5X7QmLg,3
Not Like Us,noser,lan,americas,iiIVyj1BRv-MAt7ay2mCxlU_HIxJEIdTlqt1v8jYSxl12Nc3Qi-b_3SoFhgE0Jz5Mq8N41ltBngmEQ,3
Willy Woodinson,chill,euw,europe,P1ST0G_2rMu5s_Q_ZxFc1T4CA8I7gHdrrLRZE30lBkCAQmYzOaF6s6tavCi-HR0daf2blB6XLYlEtQ,3
Radostina,0001,euw,europe,J_HwdfqlY28pRi1gzFWuJWrCIN3j4uq4QHW9CU6QtzfplsqqY5dcmXY6yO4qB8lci_LSLmZPNbKFxw,3
BLACKLIVESMATTER,JK  0,lan,americas,2mUR93zr5uxgsSGm2nTf5ijEu04L-P9KIdFQJ0TkiLvqMjhDCoW5VIEllfr7QZ97qXHY-yMfTSFZzw,3
GRAVES KING,KR1,kr,asia,woj44wIj5FErpSpXUTe598if1Vd9Okow1XsBHk42hUULVyeb4l-IvbTJp2cE3kXuaTnWjmrvxTDtNA,3
vitamin,9876,na,americas,KAyk6yLAnvdNwdY6eEs7H9jRHLJoUVBsqzwwNnys-Pepu0lTewz-nuTCYooGs92J0NiWzdkRqzCelQ,3
Gui,2Shot,br,americas,B7JVaQ7tvqW_81NSe5GBgv3qEP_66Glx-I7cPx0zq_CVq_ORpbdHO4iD2sA0cHaGdqj__pdPuBKZvg,3
Koetz,Koetz,br,americas,5ZNx8byujqs-cOZiGRopLIhobknyRfHw35xxJdb7BlumZy5Uwl7hfCGwyqeBkxGbdrGrrdr0zu5now,3
Victor Osimhen,JG1,tr,europe,oOuCkVInVvWZobdvqdnwqy9rODgpSr1EoejJj09W8rQJHmncU9CQs082xQwohB-NT-YtGgbeZpo3kg,3
Fumei algo verde,br1,br,americas,IZN3PSVSrtYh1-nHHvopwQSXPbqjqUsCCZF_7uulMabhjk_BDtynsNF0wi08V9E3i5mzMgEbZyfQeA,3
Mbaguette,1234,las,americas,Pyrp1KPRUdYr-CXPNT2BZXs9rw6PWe-5030ZXzaybCzma7ZI3AMGNy6hGYmjUw0MKDG-EujWe-oY2Q,3
KKLT,1013,kr,asia,6XtzBBDTNtBLk3uWDEY2HDOAztL2GzJSYn5N2SsBda57OAznIzJmylkC3_bfjKVYeWCpQQycn34bVg,3
AlluK,goat,br,americas,YiafsHjdpIPeUC-TQZLolc17cNBp64TJb6NrHp9OyOgjoAqgTuWEuMufdSdy7Jks3-nqCKhjr-PLNQ,3
Trainwreckstv,Coke,euw,europe,2scqFiVndEPFfAy-Bz8DNRBLhR9Jl63R2dji0WOuxIAKeTMrD85h5oSMUycswgl8MDRhkfwKb0WEpA,3
Sebarine,LAS,las,americas,SyPorN8FdrRcGwNiY1Un7jOEPyR6Fv1qZwE1EobxPMlnPiC7ie7Ce3aPkPggUV9qqwYWhtzkjushdQ,3
Castle,Berry,na,americas,pO7GHelvBGfU8u9rMkthX1-NxDkv0OaTChmvyHUP-GsMOkyQbTnhKzjQDnARFs-xVhBrdAkq8GC_SA,3
Kaling,SGL,na,americas,G8glnawDv7fw5OqAUnYRh0mSEEgxcZXItbFAgS8YHDuX3K-i71ABe5_H9JJt6-rgDcV82gS-GT59gg,3
Cpt Mpizos,EUNE,eune,europe,Cso76G3KZc76sxW6zc1VeA_-rIfKdtkCudWCOX0A7agQILUBBBkPqNWe-J7-nfbTjbHReXAGpnUlXw,3
dream lover,0204,na,americas,FQdLJllS8j9Ndu692T53Pxq_aBpfTh5N8EzpQP3onVFKAj3Ax0v-gkDUGgv4agg8pDoh_J3SCkAMWQ,3
admiral,5660,euw,europe,4rtBfjwq_kDvCeyS5Qmixt9OfTkJaXD01GXsCQC3tfLK4mYNaToeNL6VqciK-DC3Eotc4zY5_84-pQ,3
IG Radagast,LOTR,br,americas,446sKo1l7PdYZ7B7teMPE6CxkneKyRwXsaQtqWva1xGu0jNLlQlwJJdRmA56dgvHfvqCbdXeeZZVdA,3
YEIMO CARRION,LAN,lan,americas,FaJPYQsHBdkmZ3HkEw81UQbDjI2LKYTH0w33DvZw2OTbJM2d-X46r4-NCpdbgnWun1RzDmVxKRuj1Q,3
